Date,Price,Open,High,Low,Vol.,Change %
26/12/2017,"31,276","31,039","31,442","31,039",1.26M,0.76%
25/12/2017,"31,039","31,205","31,276","30,873",1.69M,-0.76%
22/12/2017,"31,276","30,684","31,394","30,589",1.85M,1.93%
21/12/2017,"30,684","30,802","31,276","30,684",3.57M,-2.63%
20/12/2017,"31,513","31,750","31,750","31,276",2.43M,-0.75%
19/12/2017,"31,750","31,276","31,821","31,063",2.84M,1.52%
18/12/2017,"31,276","31,276","31,608","31,181",1.55M,0.00%
15/12/2017,"31,276","30,707","31,394","30,612",1.64M,1.93%
14/12/2017,"30,684","29,380","30,684","29,380",2.05M,4.35%
13/12/2017,"29,404","29,973","30,186","29,404",1.70M,-1.90%
12/12/2017,"29,973","30,162","30,541","29,143",3.16M,-0.55%
11/12/2017,"30,139","30,091","30,518","29,925",2.26M,-1.39%
8/12/2017,"30,565","30,494","30,849","30,376",1.48M,0.23%
7/12/2017,"30,494","31,039","31,110","30,494",2.12M,-0.77%
6/12/2017,"30,731","31,418","31,489","30,589",4.17M,-2.26%
5/12/2017,"31,442","32,271","32,342","31,442",1.93M,-2.57%
4/12/2017,"32,271","32,105","32,437","32,010",2.21M,0.22%
1/12/2017,"32,200","31,892","32,224","31,750",1.75M,0.67%
30/11/2017,"31,987","32,081","32,105","31,773",1.81M,0.37%
29/11/2017,"31,868","31,513","31,916","31,442",1.52M,1.43%
28/11/2017,"31,418","31,465","31,821","31,110",1.97M,-0.30%
27/11/2017,"31,513","32,390","32,532","31,157",5.72M,-2.64%
24/11/2017,"32,366","32,295","32,461","32,129",2.16M,-0.15%
23/11/2017,"32,413","32,698","32,840","32,224",2.72M,-0.51%
22/11/2017,"32,579","32,342","32,745","32,081",3.25M,0.73%
21/11/2017,"32,342","32,342","32,840","32,342",3.86M,0.00%
20/11/2017,"32,342","31,750","32,342","31,608",3.07M,1.86%
17/11/2017,"31,750","31,987","32,105","31,537",2.73M,-0.37%
16/11/2017,"31,868","31,631","32,058","31,513",2.36M,0.75%
15/11/2017,"31,631","31,868","32,366","31,631",2.86M,-0.74%
14/11/2017,"31,868","30,565","31,987","30,447",8.23M,5.08%
13/11/2017,"30,328","30,541","30,541","30,162",2.17M,-0.70%
