Date,Price,Open,High,Low,Vol.,Change %
21/06/2017,"5,827.50","5,865.60","5,865.60","5,779.90",19.57M,-0.97%
20/06/2017,"5,884.70","5,789.40","5,884.70","5,789.40",17.00M,1.31%
19/06/2017,"5,808.50","5,903.70","5,922.80","5,789.40",23.17M,-1.13%
16/06/2017,"5,875.10","6,018.00","6,037.00","5,837.10",48.16M,1.70%
15/06/2017,"5,776.80","5,643.00","5,812.40","5,643.00",63.41M,2.37%
14/06/2017,"5,643.00","5,625.20","5,660.90","5,589.50",25.97M,0.80%
13/06/2017,"5,598.50","5,491.50","5,598.50","5,482.60",20.21M,1.62%
12/6/2017,"5,509.30","5,589.50","5,598.50","5,491.50",23.78M,-1.75%
9/6/2017,"5,607.40","5,607.40","5,651.90","5,580.60",21.34M,-0.16%
8/6/2017,"5,616.30","5,616.30","5,651.90","5,562.80",29.10M,0.32%
7/6/2017,"5,598.50","5,464.70","5,616.30","5,464.70",44.37M,2.95%
6/6/2017,"5,438.00","5,331.00","5,438.00","5,313.20",38.49M,1.84%
5/6/2017,"5,339.90","5,348.80","5,393.40","5,322.10",24.89M,-0.17%
2/6/2017,"5,348.80","5,402.30","5,411.20","5,322.10",19.23M,-0.99%
1/6/2017,"5,402.30","5,473.60","5,473.60","5,375.60",21.17M,-0.33%
31/05/2017,"5,420.20","5,224.00","5,509.30","5,224.00",45.08M,3.58%
30/05/2017,"5,233.00","5,322.10","5,322.10","5,233.00",18.31M,-1.51%
29/05/2017,"5,313.20","5,224.00","5,331.00","5,224.00",24.92M,2.05%
26/05/2017,"5,206.20","5,224.00","5,241.90","5,188.40",9.98M,-0.51%
25/05/2017,"5,233.00","5,241.90","5,286.40","5,215.10",11.25M,0.00%
24/05/2017,"5,233.00","5,170.50","5,250.80","5,161.60",17.78M,1.03%
23/05/2017,"5,179.50","5,188.40","5,188.40","5,152.70",18.17M,0.52%
22/05/2017,"5,152.70","5,117.10","5,224.00","5,117.10",12.79M,0.70%
19/05/2017,"5,117.10","5,117.10","5,134.90","5,063.60",13.92M,0.70%
18/05/2017,"5,081.40","5,170.50","5,206.20","5,081.40",21.17M,-1.89%
17/05/2017,"5,179.50","5,170.50","5,241.90","5,170.50",13.57M,0.17%
16/05/2017,"5,170.50","5,259.70","5,268.60","5,170.50",30.72M,-1.69%
15/05/2017,"5,259.70","5,295.40","5,304.30","5,250.80",18.52M,-0.67%
12/5/2017,"5,295.40","5,375.60","5,384.50","5,259.70",16.36M,-1.49%
11/5/2017,"5,375.60","5,366.70","5,420.20","5,366.70",21.54M,0.50%
10/5/2017,"5,348.80","5,348.80","5,393.40","5,331.00",21.13M,1.01%
9/5/2017,"5,295.40","5,215.10","5,313.20","5,188.40",23.05M,1.89%
8/5/2017,"5,197.30","5,206.20","5,224.00","5,188.40",17.92M,-0.17%
5/5/2017,"5,206.20","5,206.20","5,224.00","5,206.20",13.49M,0.00%
4/5/2017,"5,206.20","5,197.30","5,241.90","5,188.40",13.82M,0.34%
3/5/2017,"5,188.40","5,241.90","5,259.70","5,188.40",12.52M,-1.02%
28/04/2017,"5,241.90","5,206.20","5,250.80","5,197.30",41.68M,-0.34%
27/04/2017,"5,259.70","5,224.00","5,295.40","5,117.10",34.63M,1.03%
26/04/2017,"5,206.20","5,295.40","5,295.40","5,117.10",24.72M,-2.01%
25/04/2017,"5,313.20","5,348.80","5,384.50","5,286.40",17.26M,-0.83%
24/04/2017,"5,357.80","5,438.00","5,446.90","5,331.00",13.66M,-1.31%
21/04/2017,"5,429.10","5,420.20","5,464.70","5,384.50",10.61M,0.00%
20/04/2017,"5,429.10","5,518.20","5,527.10","5,429.10",11.71M,-1.62%
19/04/2017,"5,518.20","5,429.10","5,527.10","5,402.30",22.52M,2.31%
18/04/2017,"5,393.40","5,464.70","5,473.60","5,357.80",28.60M,-0.82%
17/04/2017,"5,438.00","5,518.20","5,536.10","5,411.20",24.17M,-1.29%
14/04/2017,"5,509.30","5,571.70","5,607.40","5,438.00",18.97M,-1.90%
13/04/2017,"5,616.30","5,616.30","5,660.90","5,598.50",16.26M,-0.32%
12/4/2017,"5,634.10","5,669.80","5,678.70","5,598.50",22.87M,-0.94%
11/4/2017,"5,687.60","5,705.40","5,714.30","5,660.90",16.96M,-0.16%
10/4/2017,"5,696.50","5,705.40","5,714.30","5,634.10",23.34M,0.31%
7/4/2017,"5,678.70","5,580.60","5,714.30","5,536.10",23.39M,1.27%
5/4/2017,"5,607.40","5,705.40","5,714.30","5,598.50",24.79M,-2.63%
4/4/2017,"5,758.90","5,705.40","5,937.20","5,696.50",41.61M,1.10%
3/4/2017,"5,696.50","5,473.60","5,705.40","5,464.70",24.27M,4.58%
31/03/2017,"5,446.90","5,348.80","5,491.50","5,348.80",18.32M,2.00%
30/03/2017,"5,339.90","5,313.20","5,411.20","5,259.70",43.73M,3.51%
29/03/2017,"5,158.70","5,111.10","5,182.40","5,093.30",47.70M,1.05%
28/03/2017,"5,105.20","5,111.10","5,134.90","5,063.60",23.90M,-0.23%
27/03/2017,"5,117.10","5,146.80","5,152.70","5,105.20",26.33M,0.00%
24/03/2017,"5,117.10","5,111.10","5,123.00","5,081.40",23.82M,0.70%
23/03/2017,"5,081.40","5,051.70","5,099.20","5,039.80",21.07M,0.83%
22/03/2017,"5,039.80","5,111.10","5,123.00","5,027.90",21.07M,-1.05%
21/03/2017,"5,093.30","5,051.70","5,099.20","5,039.80",29.04M,2.39%
20/03/2017,"4,974.40","4,968.50","4,986.30","4,944.70",7.77M,1.33%
17/03/2017,"4,909.10","4,980.40","5,010.10","4,909.10",36.05M,-1.20%
16/03/2017,"4,968.50","4,968.50","4,980.40","4,956.60",8.02M,0.60%
15/03/2017,"4,938.80","4,992.30","4,998.20","4,926.90",20.93M,-1.19%
14/03/2017,"4,998.20","5,016.00","5,016.00","4,992.30",12.95M,-0.12%
13/03/2017,"5,004.10","5,004.10","5,016.00","4,968.50",16.09M,0.00%
10/3/2017,"5,004.10","4,992.30","5,111.10","4,986.30",48.70M,0.24%
9/3/2017,"4,992.30","4,909.10","5,010.10","4,903.10",34.81M,1.82%
8/3/2017,"4,903.10","4,897.20","4,909.10","4,885.30",16.33M,0.12%
7/3/2017,"4,897.20","4,920.90","4,932.80","4,885.30",15.54M,0.00%
6/3/2017,"4,897.20","4,873.40","4,932.80","4,849.60",20.76M,0.49%
3/3/2017,"4,873.40","4,992.30","4,992.30","4,873.40",14.42M,-2.38%
2/3/2017,"4,992.30","4,885.30","4,998.20","4,861.50",64.15M,2.69%
1/3/2017,"4,861.50","4,748.60","4,873.40","4,683.20",30.83M,2.25%
28/02/2017,"4,754.50","4,814.00","4,837.70","4,754.50",19.12M,-0.62%
