Date,Price,Open,High,Low,Vol.,Change %
21/09/2012,"4,117.30","4,128.40","4,162.00","4,106.10",289.59K,0.27%
20/09/2012,"4,106.10","4,117.30","4,162.00","4,083.70",803.05K,0.00%
19/09/2012,"4,106.10","4,106.10","4,195.60","4,072.50",2.82M,-2.91%
18/09/2012,"4,229.10","4,296.30","4,318.60","4,229.10",980.50K,-2.07%
17/09/2012,"4,318.60","4,329.80","4,341.00","4,285.10",570.53K,-0.26%
14/09/2012,"4,329.80","4,385.80","4,385.80","4,329.80",833.88K,0.00%
13/09/2012,"4,329.80","4,352.20","4,352.20","4,285.10",828.36K,0.00%
12/9/2012,"4,329.80","4,296.30","4,385.80","4,296.30",319.31K,0.52%
11/9/2012,"4,307.50","4,162.00","4,329.80","4,162.00",533.96K,0.26%
10/9/2012,"4,296.30","4,408.20","4,408.20","4,262.70",551.25K,-2.29%
7/9/2012,"4,397.00","4,408.20","4,419.30","4,363.40",613.07K,-0.25%
6/9/2012,"4,408.20","4,475.30","4,531.20","4,374.60",848.33K,-2.72%
5/9/2012,"4,531.20","4,676.70","4,687.90","4,531.20",999.25K,-3.11%
4/9/2012,"4,676.70","4,687.90","4,710.20","4,542.40",1.14M,4.24%
31/08/2012,"4,486.50","4,273.90","4,486.50","4,262.70",2.85M,4.97%
30/08/2012,"4,273.90","4,273.90","4,307.50","4,251.50",3.23M,0.00%
29/08/2012,"4,273.90","4,363.40","4,363.40","4,251.50",3.00M,0.26%
28/08/2012,"4,262.70","4,385.80","4,475.30","4,240.30",2.25M,-2.56%
27/08/2012,"4,374.60","4,710.20","4,710.20","4,374.60",1.90M,-4.87%
24/08/2012,"4,598.40","4,369.00","4,696.70","4,358.10",967.55K,0.72%
23/08/2012,"4,565.60","4,805.90","4,805.90","4,565.60",1.78M,-5.00%
22/08/2012,"4,805.90","4,805.90","4,915.10","4,784.00",1.02M,0.00%
21/08/2012,"4,805.90","5,024.30","5,024.30","4,795.00",2.47M,-4.56%
20/08/2012,"5,035.30","5,024.30","5,046.20","4,969.70",505.75K,1.32%
17/08/2012,"4,969.70","4,915.10","5,024.30","4,915.10",1.27M,-0.66%
16/08/2012,"5,002.50","5,068.00","5,111.70","5,002.50",1.88M,-0.65%
15/08/2012,"5,035.30","5,035.30","5,068.00","5,024.30",2.31M,-0.43%
14/08/2012,"5,057.10","5,002.50","5,122.60","5,002.50",1.30M,-0.43%
13/08/2012,"5,078.90","5,144.50","5,144.50","5,013.40",903.88K,1.53%
10/8/2012,"5,002.50","5,144.50","5,144.50","5,002.50",2.68M,-2.35%
9/8/2012,"5,122.60","5,144.50","5,166.30","5,089.90",1.89M,-0.42%
8/8/2012,"5,144.50","5,144.50","5,155.40","5,133.60",413.69K,-0.21%
7/8/2012,"5,155.40","5,144.50","5,166.30","5,133.60",841.36K,0.00%
6/8/2012,"5,155.40","5,133.60","5,188.20","5,133.60",861.62K,-0.21%
3/8/2012,"5,166.30","5,133.60","5,166.30","5,133.60",924.31K,0.21%
2/8/2012,"5,155.40","5,133.60","5,199.10","5,133.60",521.88K,0.00%
1/8/2012,"5,155.40","5,166.30","5,188.20","5,144.50",781.00K,-0.84%
31/07/2012,"5,199.10","5,188.20","5,242.80","5,188.20",824.24K,-2.26%
30/07/2012,"5,319.20","5,242.80","5,352.00","5,242.80",1.10M,1.46%
27/07/2012,"5,242.80","5,264.60","5,264.60","5,220.90",677.10K,0.42%
26/07/2012,"5,220.90","5,155.40","5,220.90","5,155.40",512.42K,0.63%
25/07/2012,"5,188.20","5,352.00","5,352.00","5,188.20",1.03M,-3.46%
24/07/2012,"5,373.80","5,144.50","5,395.70","5,144.50",1.72M,4.46%
23/07/2012,"5,144.50","5,144.50","5,144.50","5,122.60",355.18K,0.00%
20/07/2012,"5,144.50","5,210.00","5,231.90","5,144.50",482.70K,-0.21%
19/07/2012,"5,155.40","5,133.60","5,155.40","5,111.70",364.58K,0.21%
18/07/2012,"5,144.50","5,177.20","5,177.20","5,133.60",315.18K,-0.42%
17/07/2012,"5,166.30","5,155.40","5,166.30","5,133.60",225.62K,0.00%
16/07/2012,"5,166.30","5,275.50","5,275.50","5,155.40",133.79K,-1.05%
13/07/2012,"5,220.90","5,155.40","5,242.80","5,133.60",179.53K,1.49%
12/7/2012,"5,144.50","5,133.60","5,144.50","5,133.60",121.14K,0.00%
11/7/2012,"5,144.50","5,133.60","5,144.50","5,111.70",235.66K,0.21%
10/7/2012,"5,133.60","5,133.60","5,155.40","5,133.60",159.86K,-0.21%
9/7/2012,"5,144.50","5,078.90","5,188.20","5,078.90",83.64K,-0.84%
6/7/2012,"5,188.20","5,220.90","5,220.90","5,188.20",155.39K,0.00%
5/7/2012,"5,188.20","5,188.20","5,199.10","5,155.40",207.74K,0.64%
4/7/2012,"5,155.40","5,188.20","5,188.20","5,133.60",107.04K,0.43%
3/7/2012,"5,133.60","5,220.90","5,220.90","5,133.60",70.35K,-0.21%
2/7/2012,"5,144.50","5,210.00","5,286.50","5,133.60",762.65K,0.00%
29/06/2012,"5,144.50","5,188.20","5,231.90","5,144.50",28.85K,0.00%
28/06/2012,"5,144.50","5,319.20","5,319.20","5,144.50",211.69K,-3.09%
27/06/2012,"5,308.30","5,352.00","5,352.00","5,308.30",428.26K,0.00%
26/06/2012,"5,308.30","5,308.30","5,330.20","5,308.30",180.58K,-0.82%
25/06/2012,"5,352.00","5,341.10","5,384.80","5,341.10",248.67K,0.00%
22/06/2012,"5,352.00","5,362.90","5,373.80","5,352.00",390.93K,-0.41%
21/06/2012,"5,373.80","5,373.80","5,384.80","5,352.00",292.32K,-0.20%
20/06/2012,"5,384.80","5,406.60","5,406.60","5,362.90",520.78K,0.41%
19/06/2012,"5,362.90","5,352.00","5,373.80","5,341.10",602.28K,0.00%
18/06/2012,"5,362.90","5,417.50","5,417.50","5,341.10",200.20K,0.41%
15/06/2012,"5,341.10","5,362.90","5,362.90","5,330.20",632.52K,0.20%
14/06/2012,"5,330.20","5,373.80","5,373.80","5,319.20",410.67K,-0.41%
13/06/2012,"5,352.00","5,373.80","5,373.80","5,341.10",417.46K,0.00%
12/6/2012,"5,352.00","5,362.90","5,373.80","5,341.10",495.82K,-0.20%
11/6/2012,"5,362.90","5,395.70","5,395.70","5,319.20",241.99K,0.20%
8/6/2012,"5,352.00","5,406.60","5,461.20","5,352.00",476.61K,-0.61%
7/6/2012,"5,384.80","5,417.50","5,417.50","5,384.80",186.91K,0.00%
6/6/2012,"5,384.80","5,395.70","5,395.70","5,341.10",309.32K,0.61%
5/6/2012,"5,352.00","5,319.20","5,362.90","5,319.20",852.28K,0.00%
4/6/2012,"5,352.00","5,384.80","5,384.80","5,352.00",574.88K,-0.61%
1/6/2012,"5,384.80","5,395.70","5,406.60","5,384.80",220.86K,-0.20%
31/05/2012,"5,395.70","5,384.80","5,406.60","5,384.80",812.81K,-0.40%
30/05/2012,"5,417.50","5,461.20","5,461.20","5,384.80",379.79K,0.20%
29/05/2012,"5,406.60","5,406.60","5,417.50","5,373.80",376.77K,-0.20%
28/05/2012,"5,417.50","5,406.60","5,461.20","5,406.60",720.92K,0.00%
25/05/2012,"5,417.50","5,417.50","5,417.50","5,352.00",602.68K,2.06%
24/05/2012,"5,308.30","5,330.20","5,352.00","5,308.30",580.33K,-0.41%
23/05/2012,"5,330.20","5,406.60","5,439.40","5,297.40",741.99K,-2.01%
22/05/2012,"5,439.40","5,570.50","5,570.50","5,428.50",519.62K,-1.39%
21/05/2012,"5,515.80","5,461.20","5,515.80","5,352.00",972.37K,4.12%
18/05/2012,"5,297.40","5,439.40","5,439.40","5,242.80",1.53M,-2.61%
17/05/2012,"5,439.40","5,406.60","5,461.20","5,406.60",930.06K,1.01%
16/05/2012,"5,384.80","5,450.30","5,461.20","5,384.80",641.86K,-0.40%
15/05/2012,"5,406.60","5,679.70","5,679.70","5,395.70",2.03M,-1.79%
14/05/2012,"5,504.90","5,590.90","5,633.90","5,504.90",1.55M,-0.78%
11/5/2012,"5,547.90","5,720.00","5,720.00","5,547.90",2.06M,-1.53%
10/5/2012,"5,633.90","5,720.00","5,720.00","5,633.90",2.10M,-0.76%
9/5/2012,"5,676.90","5,676.90","5,720.00","5,633.90",1.92M,-0.75%
8/5/2012,"5,720.00","5,763.00","5,806.00","5,676.90",2.26M,-0.75%
7/5/2012,"5,763.00","5,720.00","5,763.00","5,633.90",2.06M,1.52%
4/5/2012,"5,676.90","5,590.90","5,720.00","5,590.90",2.82M,1.54%
3/5/2012,"5,590.90","5,590.90","5,590.90","5,504.90",3.99M,4.84%
2/5/2012,"5,332.90","5,332.90","5,332.90","5,289.90",3.09M,4.20%
27/04/2012,"5,117.90","5,160.90","5,203.90","5,117.90",789.34K,0.00%
26/04/2012,"5,117.90","5,289.90","5,289.90","5,117.90",1.31M,-1.65%
25/04/2012,"5,203.90","5,289.90","5,289.90","5,160.90",576.39K,0.83%
24/04/2012,"5,160.90","5,117.90","5,160.90","5,074.80",591.70K,2.56%
23/04/2012,"5,031.80","5,117.90","5,246.90","5,031.80",1.01M,-0.85%
20/04/2012,"5,074.80","5,160.90","5,289.90","5,074.80",1.74M,-0.84%
19/04/2012,"5,117.90","5,332.90","5,375.90","5,117.90",2.19M,-4.03%
18/04/2012,"5,332.90","5,418.90","5,418.90","5,332.90",825.11K,-0.80%
17/04/2012,"5,375.90","5,418.90","5,418.90","5,289.90",897.96K,0.81%
16/04/2012,"5,332.90","5,332.90","5,418.90","5,289.90",931.48K,1.64%
13/04/2012,"5,246.90","5,418.90","5,418.90","5,246.90",939.10K,-3.17%
12/4/2012,"5,418.90","5,418.90","5,461.90","5,375.90",1.32M,0.80%
11/4/2012,"5,375.90","5,203.90","5,375.90","5,160.90",2.92M,4.17%
10/4/2012,"5,160.90","5,203.90","5,203.90","5,117.90",710.11K,0.00%
9/4/2012,"5,160.90","5,203.90","5,203.90","5,117.90",628.34K,0.84%
6/4/2012,"5,117.90","5,160.90","5,160.90","5,117.90",339.71K,0.00%
5/4/2012,"5,117.90","5,031.80","5,203.90","4,988.80",3.79M,2.59%
4/4/2012,"4,988.80","5,031.80","5,074.80","4,988.80",1.67M,0.00%
3/4/2012,"4,988.80","4,988.80","5,031.80","4,988.80",564.27K,0.00%
